Training on single CPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:10 |       57.03% |       44.67% |       2.0844 |       8.8215 |          0.0010 |
|       5 |          30 |       00:01:29 |       72.66% |       78.67% |       3.4035 |       2.2047 |          0.0010 |
|       9 |          50 |       00:02:25 |       78.13% |              |       2.0930 |              |          0.0010 |
|      10 |          60 |       00:02:57 |       66.41% |       77.33% |       3.8718 |       2.2339 |          0.0010 |
|      15 |          90 |       00:04:30 |       78.91% |       58.67% |       2.4235 |       5.8524 |          0.0010 |
|      17 |         100 |       00:05:01 |       78.91% |              |       2.4342 |              |          0.0010 |
|      20 |         120 |       00:06:05 |       75.00% |       78.67% |       2.7306 |       2.5752 |          0.0010 |
|      25 |         150 |       00:07:44 |       82.81% |       82.67% |       2.1859 |       1.5942 |          0.0010 |
|      30 |         180 |       00:09:18 |       78.13% |       78.67% |       2.5800 |       1.4671 |          0.0010 |
|      34 |         200 |       00:10:19 |       80.47% |              |       1.5837 |              |          0.0010 |
|      35 |         210 |       00:10:51 |       76.56% |       81.33% |       2.7534 |       1.7673 |          0.0010 |
|      40 |         240 |       00:12:23 |       80.47% |       85.33% |       2.0870 |       1.3091 |          0.0010 |
|      42 |         250 |       00:12:54 |       83.59% |              |       1.3420 |              |          0.0010 |
|      45 |         270 |       00:13:56 |       78.13% |       83.33% |       2.3496 |       1.2209 |          0.0010 |
|      50 |         300 |       00:15:28 |       76.56% |       84.00% |       2.3836 |       1.1177 |          0.0010 |
|      55 |         330 |       00:17:00 |       75.78% |       84.67% |       2.6050 |       1.3206 |          0.0010 |
|      59 |         350 |       00:18:01 |       82.03% |              |       1.8585 |              |          0.0010 |
|      60 |         360 |       00:18:32 |       76.56% |       84.67% |       2.6607 |       1.1369 |          0.0010 |
|      65 |         390 |       00:20:03 |       80.47% |       84.67% |       1.8795 |       1.3615 |          0.0010 |
|      67 |         400 |       00:20:34 |       86.72% |              |       0.8252 |              |          0.0010 |
|      70 |         420 |       00:21:35 |       83.59% |       84.67% |       1.9189 |       1.6143 |          0.0010 |
|      75 |         450 |       00:23:06 |       79.69% |       80.67% |       2.2016 |       1.8429 |          0.0010 |
