Training on single CPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:02:08 |       44.53% |       47.33% |       0.8552 |       0.7724 |          0.0010 |
|       5 |          30 |       00:40:54 |       85.94% |       84.67% |       0.3730 |       0.3430 |          0.0010 |
|       9 |          50 |       01:08:16 |       89.84% |              |       0.2458 |              |          0.0010 |
|      10 |          60 |       01:21:18 |       93.75% |       88.67% |       0.1835 |       0.2947 |          0.0010 |
|      15 |          90 |       02:01:44 |      100.00% |       90.67% |       0.0575 |       0.2523 |          0.0010 |
|      17 |         100 |       02:13:26 |      100.00% |              |       0.0439 |              |          0.0010 |
|      20 |         120 |       02:38:56 |      100.00% |       91.33% |       0.0193 |       0.2551 |          0.0010 |
|      25 |         150 |       03:16:15 |      100.00% |       90.67% |       0.0135 |       0.2630 |          0.0010 |
|      30 |         180 |       03:54:48 |      100.00% |       91.33% |       0.0089 |       0.2549 |          0.0010 |
|      34 |         200 |       04:18:41 |      100.00% |              |       0.0079 |              |          0.0010 |
|      35 |         210 |       04:31:17 |      100.00% |       90.00% |       0.0052 |       0.2694 |          0.0010 |
|      40 |         240 |       05:08:25 |      100.00% |       91.33% |       0.0055 |       0.2596 |          0.0010 |
|      42 |         250 |       05:21:05 |      100.00% |              |       0.0095 |              |          0.0010 |
|      45 |         270 |       05:47:41 |      100.00% |       92.00% |       0.0047 |       0.2738 |          0.0010 |
|      50 |         300 |       06:24:28 |      100.00% |       89.33% |       0.0031 |       0.2851 |          0.0010 |
|      55 |         330 |       07:00:23 |      100.00% |       90.00% |       0.0041 |       0.2907 |          0.0010 |
|      59 |         350 |       07:24:46 |      100.00% |              |       0.0056 |              |          0.0010 |
|      60 |         360 |       07:37:20 |      100.00% |       91.33% |       0.0025 |       0.2951 |          0.0010 |
|      65 |         390 |       08:16:01 |      100.00% |       92.00% |       0.0045 |       0.2885 |          0.0010 |
|      67 |         400 |       08:28:24 |      100.00% |              |       0.0018 |              |          0.0010 |
|      70 |         420 |       08:52:09 |      100.00% |       92.67% |       0.0024 |       0.2783 |          0.0010 |
|      75 |         450 |       09:28:49 |      100.00% |       92.67% |       0.0049 |       0.2609 |          0.0010 |
